id,forecastVolum
1,301
2,327
3,177
4,280
5,393
6,195
7,471
8,191
9,2922
10,335
11,741
12,183
13,335
14,340
15,798
16,378
17,333
18,292
19,770
20,126
21,341
22,318
23,528
24,423
25,352
26,337
27,969
28,708
29,1371
30,498
31,10688
32,1012
33,2434
34,531
35,1166
36,1052
37,2156
38,1105
39,811
40,1575
41,2112
42,346
43,567
44,992
45,154
46,327
47,204
48,319
49,437
50,140
51,404
52,166
53,1863
54,225
55,454
56,126
57,367
58,318
59,428
60,230
61,210
62,120
63,569
64,144
65,209
66,295
67,244
68,457
69,216
70,180
71,585
72,327
73,618
74,268
75,5460
76,594
77,1281
78,449
79,588
80,762
81,1739
82,807
83,704
84,918
85,844
86,208
87,356
88,411
89,259
90,3839
91,662
92,135
93,1603
94,2227
95,4566
96,2317
97,1844
98,2715
99,2420
100,1049
101,5480
102,5545
103,1789
104,1566
105,1760
106,491
107,1437
108,357
109,2738
110,745
111,554
112,655
113,714
114,93
115,1394
116,1559
117,2574
118,863
119,6728
120,749
121,2176
122,1145
123,3191
124,3435
125,1736
126,1708
127,1989
128,527
129,566
130,872
131,779
132,653
133,1348
134,233
135,172
136,1428
137,407
138,405
139,1429
140,383
141,1442
142,142
143,1358
144,225
145,834
146,912
147,1224
148,366
149,232
150,245
151,456
152,190
153,373
154,281
155,650
156,158
157,62
158,129
159,358
160,876
161,492
162,103
163,648
164,153
165,1827
166,371
167,283
168,634
169,1126
170,440
171,428
172,212
173,91
174,157
175,240
176,71
177,1403
178,443
179,394
180,583
181,1237
182,1543
183,1804
184,602
185,1626
186,434
187,2184
188,1435
189,1144
190,1658
191,1575
192,1613
193,1620
194,589
195,516
196,622
197,509
198,249
199,1177
200,604
201,489
202,101
203,1986
204,3648
205,4822
206,1229
207,2342
208,1096
209,5595
210,3319
211,3159
212,5336
213,3797
214,2767
215,2350
216,1272
217,707
218,751
219,1015
220,214
221,244
222,524
223,418
224,342
225,1700
226,1254
227,3032
228,1481
229,2789
230,1161
231,1809
232,1339
233,2401
234,3978
235,4535
236,1637
237,1910
238,1215
239,466
240,1013
241,3150
242,225
243,105
244,652
245,492
246,100
247,1257
248,1031
249,2045
250,1361
251,2480
252,916
253,1034
254,1005
255,2513
256,2377
257,1347
258,901
259,1224
260,433
261,821
262,640
263,1701
264,529
265,141
266,1076
267,688
268,71
269,1863
270,1490
271,2683
272,1128
273,1442
274,707
275,1712
276,1326
277,2893
278,2821
279,1312
280,1601
281,1237
282,617
283,398
284,629
285,1014
286,648
287,541
288,1962
289,1527
290,428
291,4091
292,3588
293,5866
294,1526
295,4849
296,1301
297,5178
298,2218
299,4606
300,7313
301,4545
302,2831
303,3480
304,1420
305,1900
306,1627
307,1915
308,1046
309,639
310,465
311,500
312,898
313,845
314,1183
315,1615
316,757
317,605
318,161
319,1837
320,412
321,1745
322,1452
323,897
324,348
325,572
326,251
327,185
328,419
329,577
330,76
331,60
332,1719
333,1183
334,432
335,3373
336,559
337,4005
338,1585
339,2879
340,476
341,969
342,525
343,4201
344,2552
345,926
346,620
347,1388
348,636
349,1918
350,363
351,1095
352,2085
353,2782
354,1988
355,974
356,1079
357,3872
358,3919
359,5728
360,2093
361,2083
362,847
363,6527
364,2807
365,6380
366,7272
367,3320
368,2285
369,3277
370,1639
371,1185
372,1690
373,1847
374,463
375,394
376,1171
377,1575
378,169
379,2119
380,2337
381,8022
382,3377
383,834
384,387
385,2593
386,792
387,8982
388,4163
389,928
390,484
391,753
392,579
393,1763
394,476
395,1575
396,1209
397,368
398,534
399,535
400,1080
401,1099
402,737
403,2110
404,525
405,1225
406,283
407,1447
408,423
409,1904
410,1870
411,1049
412,652
413,588
414,536
415,853
416,417
417,614
418,1036
419,357
420,259
421,69
422,86
423,289
424,386
425,606
426,48
427,571
428,123
429,667
430,278
431,323
432,256
433,616
434,241
435,336
436,203
437,164
438,148
439,103
440,127
441,823
442,878
443,874
444,544
445,3063
446,2147
447,3223
448,948
449,1963
450,516
451,3876
452,1014
453,4225
454,3929
455,3200
456,1163
457,1307
458,1030
459,1294
460,634
461,1106
462,1115
463,1283
464,399
465,345
466,735
467,878
468,893
469,2365
470,317
471,955
472,270
473,2731
474,447
475,1940
476,1625
477,2360
478,490
479,547
480,443
481,397
482,163
483,523
484,347
485,24
486,61
487,61
488,32
489,195
490,570
491,921
492,352
493,106
494,138
495,286
496,101
497,891
498,520
499,82
500,217
501,204
502,38
503,219
504,88
505,155
506,130
507,633
508,233
509,77
510,646
511,567
512,340
513,523
514,116
515,1256
516,141
517,1379
518,230
519,347
520,319
521,1353
522,341
523,279
524,462
525,230
526,218
527,199
528,63
529,350
530,184
531,103
532,317
533,374
534,244
535,348
536,93
537,636
538,136
539,852
540,154
541,214
542,231
543,792
544,295
545,217
546,252
547,165
548,155
549,147
550,58
551,580
552,267
553,102
554,752
555,484
556,248
557,441
558,144
559,1005
560,154
561,990
562,179
563,252
564,287
565,845
566,377
567,243
568,328
569,230
570,207
571,209
572,79
573,251
574,77
575,37
576,262
577,175
578,171
579,304
580,36
581,260
582,46
583,637
584,64
585,211
586,129
587,722
588,100
589,89
590,61
591,87
592,63
593,73
594,28
595,760
596,216
597,163
598,627
599,660
600,444
601,661
602,161
603,1089
604,142
605,1569
606,300
607,494
608,432
609,1914
610,425
611,413
612,293
613,535
614,231
615,353
616,156
617,538
618,204
619,171
620,371
621,436
622,325
623,636
624,166
625,873
626,144
627,1190
628,241
629,408
630,352
631,1507
632,420
633,342
634,303
635,202
636,148
637,156
638,88
639,656
640,246
641,166
642,1164
643,579
644,374
645,642
646,163
647,1534
648,188
649,1311
650,303
651,475
652,429
653,1671
654,542
655,470
656,335
657,512
658,228
659,310
660,173
661,604
662,243
663,81
664,652
665,551
666,389
667,474
668,88
669,1303
670,162
671,1295
672,205
673,379
674,385
675,1905
676,325
677,397
678,334
679,245
680,251
681,210
682,90
683,364
684,890
685,221
686,115
687,572
688,1617
689,3060
690,795
691,4124
692,3349
693,2350
694,683
695,2003
696,5758
697,1447
698,730
699,1379
700,502
701,883
702,219
703,1126
704,664
705,1152
706,412
707,582
708,84
709,1171
710,696
711,1452
712,417
713,331
714,136
715,1932
716,620
717,1204
718,1200
719,1198
720,412
721,834
722,371
723,143
724,212
725,1463
726,144
727,469
728,213
729,96
730,131
731,294
732,217
733,466
734,108
735,188
736,50
737,697
738,121
739,321
740,359
741,549
742,111
743,202
744,111
745,59
746,141
747,178
748,45
749,224
750,99
751,98
752,583
753,465
754,244
755,827
756,221
757,2657
758,372
759,1001
760,310
761,538
762,345
763,886
764,645
765,447
766,716
767,298
768,396
769,210
770,96
771,226
772,392
773,571
774,771
775,840
776,282
777,985
778,419
779,2312
780,372
781,632
782,342
783,1196
784,842
785,765
786,1361
787,689
788,385
789,961
790,525
791,570
792,487
793,159
794,267
795,207
796,91
797,624
798,358
799,479
800,196
801,1702
802,369
803,924
804,494
805,498
806,804
807,928
808,361
809,652
810,361
811,299
812,201
813,156
814,154
815,425
816,474
817,696
818,466
819,1609
820,945
821,3803
822,1857
823,11836
824,2848
825,3210
826,1994
827,3483
828,2974
829,2480
830,2203
831,2262
832,1851
833,2813
834,803
835,574
836,1528
837,387
838,559
839,503
840,693
841,655
842,692
843,1640
844,699
845,4036
846,452
847,1354
848,570
849,1396
850,1716
851,1314
852,1991
853,907
854,758
855,1234
856,322
857,592
858,796
859,209
860,334
861,239
862,236
863,411
864,453
865,710
866,337
867,2345
868,301
869,993
870,372
871,618
872,865
873,1007
874,954
875,427
876,483
877,501
878,156
879,276
880,324
881,195
882,13
883,25
884,229
885,33
886,57
887,279
888,94
889,892
890,19
891,332
892,31
893,226
894,144
895,404
896,57
897,33
898,60
899,126
900,20
901,24
902,35
903,277
904,323
905,156
906,203
907,495
908,314
909,895
910,256
911,3567
912,349
913,787
914,345
915,700
916,492
917,987
918,685
919,492
920,652
921,539
922,194
923,184
924,250
925,461
926,139
927,227
928,534
929,437
930,457
931,1063
932,467
933,2935
934,142
935,1151
936,256
937,985
938,825
939,1730
940,594
941,579
942,496
943,1144
944,169
945,283
946,574
947,305
948,67
949,54
950,326
951,268
952,111
953,227
954,42
955,360
956,23
957,217
958,58
959,128
960,111
961,109
962,120
963,124
964,98
965,91
966,117
967,99
968,59
969,220
970,115
971,69
972,5
973,264
974,720
975,636
976,146
977,651
978,70
979,1035
980,555
981,391
982,832
983,1311
984,412
985,346
986,243
987,47
988,39
989,86
990,41
991,79
992,79
993,66
994,22
995,331
996,380
997,622
998,35
999,198
1000,125
1001,814
1002,248
1003,689
1004,1221
1005,1325
1006,333
1007,423
1008,226
1009,157
1010,138
1011,250
1012,86
1013,567
1014,142
1015,57
1016,190
1017,1092
1018,872
1019,1017
1020,190
1021,1747
1022,263
1023,2909
1024,626
1025,676
1026,2530
1027,2536
1028,618
1029,692
1030,640
1031,225
1032,403
1033,296
1034,180
1035,86
1036,336
1037,478
1038,27
1039,932
1040,500
1041,2969
1042,1250
1043,535
1044,437
1045,786
1046,312
1047,2813
1048,1725
1049,890
1050,329
1051,590
1052,483
1053,1688
1054,168
1055,532
1056,918
1057,746
1058,448
1059,320
1060,479
1061,948
1062,1543
1063,1342
1064,361
1065,1504
1066,263
1067,2041
1068,1119
1069,1395
1070,2373
1071,3180
1072,1014
1073,781
1074,576
1075,238
1076,568
1077,539
1078,196
1079,227
1080,255
1081,50
1082,61
1083,455
1084,368
1085,588
1086,114
1087,659
1088,201
1089,978
1090,305
1091,561
1092,551
1093,708
1094,276
1095,264
1096,278
1097,112
1098,182
1099,199
1100,70
1123,548
1124,270
1125,50
1126,111
1127,896
1128,827
1129,626
1130,72
1131,1951
1132,284
1133,1527
1134,454
1135,544
1136,752
1137,1393
1138,563
1139,508
1140,676
1141,133
1142,428
1143,211
1144,82
1145,321
1146,322
1147,181
1148,450
1149,541
1150,235
1151,605
1152,168
1153,1218
1154,148
1155,516
1156,139
1157,525
1158,452
1159,424
1160,264
1161,342
1162,141
1163,255
1164,360
1165,223
1166,259
1167,375
1168,532
1169,265
1170,158
1171,1242
1172,2096
1173,1693
1174,528
1175,1632
1176,691
1177,2080
1178,689
1179,1173
1180,2924
1181,986
1182,558
1183,1476
1184,660
1185,278
1186,705
1187,1371
1188,152
1189,19
1190,63
1191,155
1192,15
1193,162
1194,196
1195,441
1196,95
1197,36
1198,13
1199,113
1200,155
1201,257
1202,412
1203,68
1204,180
1205,669
1206,11
1207,78
1208,109
1209,377
1210,123
1211,131
1212,599
1213,757
1214,153
1215,2195
1216,718
1217,1461
1218,1512
1219,942
1220,356
1221,1052
1222,558
1223,2684
1224,2140
1225,673
1226,505
1227,961
1228,311
1229,253
1230,1208
1231,1475
1232,239
1233,597
1234,1255
1235,1197
1236,330
1237,2723
1238,1159
1239,1673
1240,909
1241,2020
1242,459
1243,2538
1244,659
1245,2513
1246,3205
1247,2485
1248,941
1249,1898
1250,604
1251,320
1252,2262
1253,1606
1254,359
1255,26
1256,775
1257,42
1258,239
1259,370
1260,96
1261,331
1262,111
1263,397
1264,15
1265,450
1266,45
1267,600
1268,518
1269,281
1270,286
1271,208
1272,88
1273,198
1274,605
1275,182
1276,42
1277,115
1278,190
1279,190
1280,85
1281,754
1282,443
1283,459
1284,202
1285,418
1286,204
1287,726
1288,196
1289,859
1290,778
1291,299
1292,60
1293,313
1294,164
1295,52
1296,1947
1297,682
1298,31
1299,3392
1300,90
1301,98
1302,38
1303,960
1304,635
1305,584
